DCV10394CV10394                          DOUBLE STOREY SHOPOFFICE      3207.6422                                         Lot 40556 And Lot 40557                                                                                                 KUANTAN                                 25300MUKIM OF KUALA KUANTAN        KUANTAN                                 Pahang                        1603.8211           NR                                                                                    30/06/20                                                                              
DCV10396CV10396                          LAND & BUILDING (INDUSTRIAL)  38978.6652                                        PT 44774                                                                                                                KUANTAN                                 25200MUKIM OF K KUANTAN            KUANTAN                                 Pahang                        38978.66523599999   NR                                                                                    30/06/20                                                                              
DCV10398CV10398                          LAND & BUILDING (INDUSTRIAL)  38957.2450                                        PT 44778                                                                                                                KUANTAN                                 25000MUKIM OF K KUANTAN            KUANTAN                                 Pahang                        38957.245075        NR                                                                                    30/06/20                                                                              
DCV104179CV104179                        SINGLE STOREY TERRACE HOUSE   1460.66123                                        No. 20-B, Taman Makmur                  Bakar Arang                                                                     Sungai Petani                           08000MUKIM OF SUNGAI PASIR         KUALA MUDA                              Kedah                         1461                RE                                                                                                                                                                          
DCV105436CV105436                        DOUBLE STOREY SHOPHOUSE       1270                                              No. 351, Jalan Dato Keramat                                                                                             Georgetown                              10150BANDAR GEORGETOWN             TIMUR LAUT                              Pulau Pinang                  1270                NR                                                                                                                                                                          
DCV105539CV105539                        DOUBLE STOREY SHOPHOUSE       2638.98536                                        NO. 19,                                 PENGKALAN KAPAL,                                                                ALOR SETAR                              05000BANDAR ALOR SETAR             KOTA SETAR                              Kedah                         2638.985363         NR                                                                                    30/09/20                                                                              
