      CCV1074551CV6136857                DOUBLE STOREY SHOPOFFICE      3300                                              No. 4, Jalan Jaya 5                     Taman Jaya                              Bandar Tun Razak                        Cheras                                  56000MUKIM OF KUALA LUMPUR         WILAYAH PERSEKUTUAN                     WP Kuala Lumpur               1649.890592         NR                                                                                    28/03/2016750000                                                                              
      DCV101824CV101824                  AGRICULTURE VACANT LAND       92569.54                                          LOT 6786,                               MUKIM SERTING ULU                                                               JEMPOL                                  72300MUKIM OF SERTING ULU          JEMPOL                                  Negeri Sembilan               92569.54            NR                                                                                    30/12/201065000                                                                              
